STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 06:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 07:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 08:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 09:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 10:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 11:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 12:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 13:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 14:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 17:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 18:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 21:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 22:00,0.25, , 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070123 23:00,0.00,T, 
COOP:412015,CORPUS CHRISTI INTERNATIONAL AIRPORT TX US,13.4,27.7742,-97.5122,20070124 00:00,2.03, , 
